artist_id,ME,Pred
468b6ce2c36feb6b8585bca11c8f5308,629.450771127,617.678429672
470286fb0e9ff156923e729ffb927170,909.015591062,896.834062597
470690eca841a4fa2955d24485276fee,254.354114272,255.129231286
48850bff1d0c0a1d81133d01aef833d9,632.674969612,624.657987782
4a56eb60ebb68200d1d948a0ada24416,64.70300629,57.2357986625
4abecc0c7ea1fd2572ef28e04c52ea9c,1874.43023935,1903.81177994
4b46759309d38832471eb326dedcf5c0,749.087173587,819.759390707
4cb28599d0f6faf0c3dbba339897dc37,855.458602165,855.458602165
4d01ec9616e8aadc9a4386ab9eb95603,869.208107865,889.689744237
509735a54607273699d6fb9496daccf4,508.187960856,487.427631281
524da37a182e5c395ed1ffe933cf5574,296.179199515,296.179199515
525a4651e0ad2fd4142dcfa0923ea42d,744.420275712,743.850369163
530e4addcb18641c01fc18c332a8bc84,285.981813366,286.279234657
5345604b551d667182d2c2e86ea2d3c3,683.6837225,665.321357007
53656889d0eefe6677081623eb5441bb,640.59141559,629.543579999
54ec1eb4dc218e3bf74c7fa4470fc308,1266.92539829,1256.87147711
550f217a3fb592a318faf2600f09998a,307.356439268,303.206968717
55f43349ffca0fcc72532eb1c075a02e,510.307372743,510.069400363
56e69bb2a81449f1f76bcf1647816ffa,59.4290950614,196.037407042
5742317c8b042abc4a73b5cc4e119ca2,256.851896037,261.300169159
5803d95fd23c0e56b3bfe52e99239e6b,637.006482137,647.53783732
5a95ed351a4629efec41151d3091e3e5,424.92194042,423.036156474
5be04014026c6a67b129d759b08667b9,733.023247238,741.078137112
5c32b373edf2abdb67feb0c76475db37,350.179448529,348.584472122
5dbd0882d237a4830436a7f7986e59ab,254.082175981,256.187947576
5e1788cd2cce09d8780d44c81a862e19,466.575107858,544.828223647
5fbce9374fc22f4a22381e36089cfa90,373.326712613,412.296757212
6192cffbc5ad57723d69a4b507268ae7,356.542134095,373.305490101
6255fc882a638abfa1dd764783242cc6,802.027734389,802.027734389
6428a2b58ccd8fe4cd25ef1a156fcaff,334.162446643,340.545856639
66a5c1707de816c3e664a27bf3e50bd7,526.082008403,526.082008403
67ed1f7f1374e64a93bfca4b44f66dd6,1469.44891499,1450.36889183
68bd8e49436c7ab7e61b5fabe9759102,179.89345239,175.472955992
69f237fd0066765faaf7af399be0f3bc,1217.89870746,1214.43031162
6b4b8bec7d61efdacf2b162c396f1f04,365.204943521,359.644585263
6c520f3f1df2048017a1c1019789d981,234.765970503,235.70443924
6cbcdd32720882c077604065a09fb505,-21.5434766992,70.1371045051
